genre_id,counts
modern bollywood,196
gaming dubstep,196
edmonton indie,196
dutch rock,196
dirty south rap,196
metropopolis,195
malaysian pop,195
kindermusik,195
belgian indie,195
voidgaze,194
progressive rock,194
easy listening,194
country dawn,194
contemporary classical,194
classic russian pop,194
boston indie,194
mariachi,193
icelandic pop,193
french reggae,193
rhythm and blues,192
hjemmesnekk,192
greek pop,192
relaxative,191
old school dancehall,191
eurodance,191
rock nacional,190
danspunk,190
cumbia pop,190
american post-rock,190
progressive uplifting trance,189
christian trap,189
brooklyn indie,189
brazilian edm,189
bass trap,189
trip hop,188
tamil pop,188
partyschlager,188
australian alternative rock,188
schlager,187
laiko,187
ebm,187
chilean indie,187
banda carnavalera,187
swedish trap pop,186
spanish rock,186
salsa international,186
indian indie,186
historically informed performance,186
glitchcore,186
glam metal,186
finnish pop,186
boom bap,186
deep regional mexican,185
chicano rap,185
uk pop,184
hardcore techno,184
forro,184
deep latin christian,184
brighton indie,184
uk doom metal,183
technical death metal,183
jam band,183
classic thai pop,183
canadian country,183
substep,182
school ensemble,182
punk blues,182
norwegian pop rap,182
spanish indie pop,181
russian rock,181
new age piano,181
viral pop,180
ukrainian pop,180
turkish jazz,180
southern soul,180
skate punk,180
preschool children's music,180
portland indie,180
italian hip hop,180
roots worship,179
rap cristiano,179
punk chileno,179
norwegian black metal,179
magyar alternative,179
gothenburg indie,179
vancouver punk,178
slam death metal,178
shamanic,178
drone,178
dark post-punk,178
celtic,178
toronto indie,177
lesen,177
grave wave,177
classical guitar,177
arab pop,177
synthpop,176
progressive post-hardcore,176
hyperpop,176
french classical piano,176
disco polo,176
deconstructed club,176
complextro,176
space rock,175
nu disco,175
neo r&b,175
modern reggae,175
jawaiian,175
austindie,175
arabesk,175
american classical piano,175
world,174
swedish melodic rock,174
soulful house,174
redneck,174
modern power pop,174
malaysian indie,174
la pop,174
funky tech house,174
dark electro,174
chamber orchestra,174
bluegrass,174
black metal,174
spanish noise pop,173
retro metal,173
pub rock,173
liverpool indie,173
indie quebecois,173
choral,173
bhangra,173
ambient,173
tejano,172
polish hip hop,172
